Report Metadata
Name,Description,Created By,Created At,Last Modified,Is Archived,Is Template
New Report 12/13/2024,"Generated on 12/13/2024, 2:11:07 PM",kennyd,2024-12-13 13:11:07.827891+00:00,2024-12-13 13:11:07.827975+00:00,False,False

Report Entries
Title,Content,Order,Created By,Created At
Generated CSV Report,Automatically generated CSV report,0,kennyd,2024-12-13 13:25:05.188655+00:00
Generated EXCEL Report,Automatically generated EXCEL report,0,kennyd,2024-12-13 13:25:11.825011+00:00

Associated Files
Entry Title,File Name,File Type,Uploaded By,Uploaded At
Generated CSV Report,reports/10/22/20241213_132505_10_22.csv,csv,kennyd,2024-12-13 13:25:05.218884+00:00
Generated EXCEL Report,reports/10/23/20241213_132511_10_23.xlsx,excel,kennyd,2024-12-13 13:25:11.849220+00:00
