Report Metadata
Name,Description,Created By,Created At,Last Modified,Is Archived,Is Template
New Report,No description,kennyd,2024-09-28 16:47:17.162018+00:00,2024-09-28 16:47:17.162142+00:00,False,False

Report Entries
Title,Content,Order,Created By,Created At
Generated CSV Report,Automatically generated CSV report,0,kennyd,2024-12-13 07:35:10.586685+00:00
Generated EXCEL Report,Automatically generated EXCEL report,0,kennyd,2024-12-13 07:35:19.504386+00:00

Associated Files
Entry Title,File Name,File Type,Uploaded By,Uploaded At
Generated CSV Report,reports/4/16/20241213_073510_4_16.csv,csv,kennyd,2024-12-13 07:35:10.634738+00:00
Generated EXCEL Report,reports/4/17/20241213_073519_4_17.xlsx,excel,kennyd,2024-12-13 07:35:19.522063+00:00
