Report Metadata
Name,Description,Created By,Created At,Last Modified,Is Archived,Is Template
New Report,No description,kennyd,2024-12-13 09:14:22.838308+00:00,2024-12-13 09:14:22.838368+00:00,False,False

Report Entries
Title,Content,Order,Created By,Created At
Generated CSV Report,Automatically generated CSV report,0,kennyd,2024-12-13 09:17:04.277531+00:00
Generated EXCEL Report,Automatically generated EXCEL report,0,kennyd,2024-12-13 09:17:09.029321+00:00

Associated Files
Entry Title,File Name,File Type,Uploaded By,Uploaded At
Generated CSV Report,reports/9/20/20241213_091704_9_20.csv,csv,kennyd,2024-12-13 09:17:04.307283+00:00
Generated EXCEL Report,reports/9/21/20241213_091709_9_21.xlsx,excel,kennyd,2024-12-13 09:17:09.063669+00:00
